1,1.0,9.2,10.3
1,1.0,9.2,10.4
1,1.0,9.3,10.5
1,1.0,9.3,10.6
1,1.0,9.2,10.6
1,1.0,9.2,10.7
1,1.0,9.3,10.7
1,1.0,9.3,10.8
1,1.0,9.3,10.8
1,1.0,9.3,10.8
1,1.0,9.4,10.9
2,1.0,9.4,11.0
2,1.0,9.4,11.0
2,1.0,9.5,11.1
2,1.0,9.5,11.2
2,1.0,9.5,11.3
2,1.0,9.5,11.3
2,1.0,9.6,11.4
2,1.0,9.6,11.4
2,1.0,9.6,11.5
2,1.0,9.6,11.6
2,1.0,9.7,11.6
2,1.0,9.8,11.7
2,1.0,9.8,11.7
2,1.0,9.9,11.8
2,1.0,9.9,11.9
2,1.0,10.0,11.9
2,1.0,10.1,12.0
2,1.0,10.1,12.0
2,1.0,10.1,12.1
2,1.0,10.2,12.2
2,1.0,10.2,11.4
2,1.0,10.2,11.4
2,1.0,10.3,11.5
2,1.0,10.4,11.6
3,1.0,10.2,11.5
3,1.0,10.0,11.5
3,1.0,10.0,11.5
3,1.0,10.0,11.5
3,1.0,10.0,11.5
3,1.0,10.0,11.5
3,1.0,10.0,11.4
3,1.0,10.0,11.4
3,7.0,6.3,10.4
3,7.0,6.3,10.9
3,7.0,5.9,8.9
3,7.0,5.8,8.8
3,7.0,6.4,7.4
3,7.0,6.5,7.2
3,7.0,6.7,7.1
3,7.0,6.9,7.1
3,7.0,7.0,7.1
3,7.0,6.2,6.9
3,7.0,6.2,6.9
3,7.0,6.5,7.0
3,7.0,6.7,7.0
3,7.0,6.9,7.1
3,7.0,7.0,7.0
3,7.0,6.3,7.0
4,7.0,6.4,7.1
4,7.0,6.5,7.0
4,7.0,6.7,7.2
4,7.0,6.9,7.2
4,7.0,7.0,7.1
4,7.0,6.6,7.1
4,7.0,6.2,7.0
4,7.0,6.4,7.0
4,6.0,5.7,7.0
4,6.0,5.6,6.9
4,6.0,6.4,7.3
4,6.0,6.4,7.0
4,6.0,6.3,6.3
4,6.0,6.1,5.7
4,6.0,6.0,5.6
4,6.0,6.0,5.6
4,6.0,6.0,5.6
4,6.0,6.0,5.7
4,6.0,6.0,5.7
4,6.0,6.1,5.7
4,6.0,6.1,5.7
4,6.0,6.2,5.7
4,6.0,6.2,5.8
4,6.0,6.1,5.8
5,6.0,6.1,5.9
5,6.0,6.1,6.0
5,6.0,6.1,5.9
5,6.0,6.1,6.0
5,6.0,6.1,6.2
5,6.0,6.1,5.9
5,6.0,6.1,5.9
5,6.0,6.1,5.9
5,6.0,6.2,5.8
5,6.0,6.2,5.7
5,6.0,6.3,6.1
5,6.0,6.3,6.2
5,6.0,6.3,5.9
5,6.0,6.3,5.9
5,6.0,6.4,6.5
5,6.0,6.4,6.1
5,6.0,6.4,6.3
5,6.0,6.4,6.1
5,6.0,6.4,6.2
5,6.0,6.5,6.6
5,6.0,6.6,6.0
5,6.0,7.0,6.3
5,6.0,7.2,6.5
5,6.0,7.2,6.3
6,6.0,7.0,6.8
6,6.0,7.2,6.8
6,6.0,7.1,6.8
6,6.0,7.9,7.3
6,6.0,7.4,7.3
6,6.0,7.3,7.5
6,6.0,6.5,7.3
6,6.0,6.7,7.6
6,6.0,6.9,7.0
6,6.0,7.0,7.4
6,6.0,6.3,7.3
6,6.0,7.2,7.7
6,6.0,6.9,7.2
6,6.0,6.7,7.7
6,6.0,7.1,7.2
6,6.0,7.0,7.2
6,6.0,6.9,7.3
6,6.0,7.2,7.2
6,6.0,7.1,7.1
6,6.0,7.2,7.0
6,6.0,7.2,7.1
6,6.0,7.3,6.9
6,6.0,6.5,7.1
6,6.0,6.9,7.1
7,6.0,6.7,6.9
7,6.0,6.2,6.9
7,6.0,6.7,6.9
7,6.0,7.0,6.9
7,6.0,6.9,7.0
7,6.0,6.8,6.9
7,6.0,6.3,6.9
7,6.0,6.4,6.9
7,6.0,7.0,6.4
7,6.0,7.1,5.9
7,6.0,7.0,5.7
7,6.0,6.8,5.8
7,6.0,6.9,5.8
7,6.0,6.6,6.6
7,6.0,6.7,6.9
7,6.0,6.6,6.9
7,6.0,6.7,6.9
7,6.0,6.8,6.9
7,6.0,7.0,6.9
7,6.0,7.0,6.5
7,6.0,7.0,6.4
7,6.0,6.7,6.2
7,6.0,6.9,6.6
7,6.0,7.0,5.9
8,6.0,6.3,6.7
8,6.0,6.7,6.9
8,6.0,6.6,6.8
8,6.0,6.9,6.9
8,6.0,6.8,6.9
8,6.0,7.0,7.0
8,6.0,7.0,7.0
8,6.0,6.9,6.6
8,7.0,7.0,6.9
8,7.0,7.0,6.9
8,7.0,7.0,7.1
8,7.0,7.2,7.2
8,7.0,7.1,7.2
8,7.0,7.2,7.3
8,7.0,7.2,7.2
8,7.0,7.3,7.1
8,7.0,7.0,7.0
8,7.0,7.2,6.7
8,7.0,6.9,7.0
8,7.0,7.2,7.1
8,7.0,7.1,7.2
8,7.0,7.2,7.2
8,7.0,7.2,7.2
8,7.0,7.2,7.1
9,7.0,7.2,7.1
9,7.0,7.1,7.1
9,11.0,7.0,7.0
9,11.0,7.1,7.1
9,7.0,7.2,7.2
9,7.0,7.0,6.9
9,7.0,7.2,7.1
9,7.0,7.2,7.0
9,7.0,7.3,7.2
9,7.0,7.3,7.2
9,7.0,7.3,7.4
9,7.0,7.4,7.4
9,7.0,7.5,7.6
9,7.0,7.6,7.5
9,7.0,7.6,7.2
9,7.0,7.2,7.2
9,7.0,7.4,6.9
9,7.0,7.2,7.3
9,7.0,7.4,7.4
9,7.0,7.5,7.6
9,7.0,7.6,7.5
9,7.0,7.6,7.3
9,7.0,7.6,7.2
9,7.0,7.3,7.1
10,7.0,7.4,7.4
10,7.0,7.4,7.3
10,11.0,7.4,7.5
10,11.0,7.5,7.6
10,7.0,7.5,7.5
10,7.0,7.5,7.4
10,7.0,7.5,7.4
10,7.0,7.6,7.3
10,7.0,7.5,7.4
10,7.0,7.3,7.3
10,7.0,7.3,7.4
10,7.0,7.5,7.5
10,7.0,7.5,7.6
10,7.0,7.5,7.6
10,7.0,7.7,7.8
10,7.0,7.8,7.9
10,7.0,8.0,7.8
10,7.0,7.9,7.7
10,7.0,7.7,7.6
10,7.0,7.7,7.5
10,7.0,7.6,7.7
10,7.0,7.8,7.8
10,7.0,7.8,7.8
10,7.0,7.9,7.8
11,7.0,7.8,7.7
11,7.0,7.6,7.7
11,7.0,7.8,7.8
11,7.0,7.8,7.5
11,7.0,7.7,7.8
11,7.0,7.8,7.9
11,7.0,7.8,7.8
11,7.0,7.7,7.7
11,8.0,7.8,7.5
11,8.0,7.7,7.7
11,8.0,7.8,7.9
11,8.0,7.9,7.9
11,8.0,7.9,7.9
11,8.0,8.0,8.0
11,8.0,8.1,8.1
11,8.0,8.1,8.1
11,8.0,8.1,7.7
11,8.0,7.7,7.9
11,8.0,8.0,8.0
11,8.0,7.8,7.3
11,8.0,7.1,7.7
11,8.0,7.6,7.8
11,8.0,8.0,7.9
11,8.0,7.9,7.9
12,8.0,8.0,8.1
12,8.0,8.1,8.1
12,8.0,8.2,8.1
12,8.0,8.1,8.1
12,8.0,8.0,8.1
12,8.0,7.9,7.9
12,8.0,8.1,8.0
12,8.0,8.0,8.2
12,8.0,8.0,8.1
12,8.0,8.0,7.7
12,8.0,8.1,8.1
12,8.0,8.1,8.1
12,8.0,8.1,8.3
12,8.0,8.2,8.3
12,8.0,8.3,8.3
