6,6.0,7.7,7.2
6,6.0,7.9,6.7
6,6.0,8.6,6.8
6,6.0,8.7,6.7
6,6.0,6.7,6.5
6,6.0,6.6,7.2
6,6.0,6.5,7.1
6,6.0,6.5,7.6
6,6.0,7.1,8.3
6,6.0,8.3,8.0
6,6.0,8.4,8.1
6,6.0,8.1,8.2
6,6.0,7.3,8.2
6,6.0,8.4,8.2
6,6.0,8.3,8.3
6,6.0,7.4,8.3
6,6.0,7.8,8.2
7,6.0,7.9,8.0
7,6.0,7.6,7.8
7,6.0,7.1,7.5
7,6.0,7.3,7.6
7,6.0,7.9,7.6
7,6.0,7.6,7.6
7,6.0,7.3,7.6
7,6.0,7.1,7.6
7,6.0,7.3,7.8
7,6.0,6.9,7.2
7,6.0,7.1,7.2
7,6.0,7.2,7.0
7,6.0,6.6,7.3
7,6.0,6.8,7.3
7,6.0,7.2,7.2
7,6.0,7.2,7.0
7,6.0,6.6,7.2
7,6.0,7.0,7.0
7,6.0,7.0,6.7
7,6.0,6.9,6.5
7,6.0,6.8,6.8
7,6.0,6.7,6.8
8,6.0,6.8,6.9
8,6.0,7.0,6.9
8,6.0,6.9,7.0
8,6.0,6.9,6.8
8,6.0,6.8,7.1
8,6.0,6.9,7.0
8,6.0,6.9,7.0
8,6.0,6.9,6.9
8,7.0,7.1,6.9
8,7.0,7.0,7.1
8,7.0,7.0,7.1
8,7.0,7.1,7.2
8,7.0,7.2,7.2
8,7.0,7.3,7.3
8,7.0,7.3,7.1
8,7.0,7.2,7.2
8,7.0,7.1,7.4
8,7.0,7.2,7.4
8,7.0,7.2,7.2
8,7.0,7.2,7.2
9,7.0,7.2,7.1
9,7.0,7.1,7.2
9,7.0,7.1,7.2
9,7.0,7.2,7.2
9,7.0,7.3,7.3
9,7.0,7.3,7.1
9,7.0,7.3,7.3
9,7.0,7.1,6.8
9,7.0,7.0,7.2
9,7.0,7.2,7.2
9,7.0,7.3,7.3
9,7.0,7.3,7.4
9,7.0,7.4,7.4
9,7.0,7.5,7.6
9,7.0,7.5,7.6
9,7.0,7.6,7.4
9,7.0,7.6,7.4
9,7.0,7.6,7.4
9,7.0,7.2,7.3
9,7.0,7.5,7.3
9,7.0,7.6,7.5
9,7.0,7.4,7.5
10,7.0,7.3,7.5
10,7.0,7.4,7.5
10,7.0,7.5,7.6
10,7.0,7.5,7.5
10,7.0,7.5,7.5
10,7.0,7.5,7.2
10,7.0,7.6,7.3
10,7.0,7.5,7.2
10,7.0,7.4,7.2
10,7.0,7.4,7.4
10,7.0,7.5,7.5
10,7.0,7.5,7.6
10,7.0,7.6,7.7
10,7.0,7.7,7.8
10,7.0,7.8,7.8
10,7.0,7.9,7.9
10,7.0,7.8,8.0
10,7.0,7.9,7.9
10,7.0,7.8,7.7
10,7.0,7.9,7.5
10,7.0,7.7,7.5
10,7.0,7.7,7.7
10,7.0,7.7,7.7
10,7.0,7.7,7.7
11,7.0,7.8,7.9
11,7.0,7.9,7.9
11,7.0,7.9,7.6
11,7.0,7.9,7.6
11,7.0,7.4,7.7
11,7.0,7.5,7.5
11,7.0,7.5,7.6
11,7.0,7.7,7.7
11,8.0,7.6,7.8
11,8.0,7.8,7.9
11,8.0,7.9,7.9
11,8.0,7.9,8.0
11,8.0,8.1,8.1
11,8.0,8.1,8.2
11,8.0,8.2,8.2
11,8.0,8.2,8.2
11,8.0,8.1,8.3
11,8.0,8.4,8.3
11,8.0,8.1,8.4
11,8.0,7.9,8.2
11,8.0,7.9,7.9
11,8.0,8.0,7.9
11,8.0,8.0,8.2
11,8.0,8.0,8.0
12,8.0,8.1,8.1
12,8.0,8.0,8.2
12,8.0,8.1,8.2
12,8.0,8.1,8.2
12,8.0,8.2,8.3
12,8.0,8.2,8.4
12,8.0,8.2,7.8
12,8.0,7.6,8.1
12,8.0,7.9,8.1
12,8.0,7.9,8.2
12,8.0,7.9,8.1
12,8.0,8.2,8.1
12,8.0,8.1,8.2
12,8.0,8.3,8.3
12,8.0,8.3,8.3
12,8.0,8.4,8.4
12,8.0,8.5,8.5
12,8.0,8.3,8.4
12,8.0,8.4,8.6
12,8.0,8.3,8.5
12,8.0,8.3,8.4
12,8.0,8.4,8.5
12,8.0,8.2,8.4
12,8.0,8.2,8.4
13,8.0,8.2,8.5
13,8.0,8.4,8.4
13,8.0,8.5,8.5
13,8.0,8.4,8.5
13,8.0,8.1,8.5
13,8.0,8.2,8.4
13,8.0,8.5,8.5
13,8.0,8.4,8.4
13,8.0,8.4,8.5
13,8.0,8.4,8.3
13,8.0,8.4,8.5
13,8.0,7.9,8.4
13,8.0,8.3,8.3
13,8.0,8.0,8.3
13,8.0,8.1,8.3
13,8.0,8.2,8.2
13,8.0,8.2,8.4
13,8.0,8.4,8.5
13,8.0,8.5,8.5
13,8.0,8.5,8.5
13,8.0,8.5,8.5
13,8.0,8.6,8.6
13,8.0,8.6,8.6
13,8.0,8.5,8.5
14,8.0,8.5,8.5
14,8.0,8.6,8.1
14,8.0,8.2,8.4
14,8.0,7.2,8.6
14,8.0,8.6,8.5
14,8.0,8.5,8.4
14,8.0,8.2,8.3
14,8.0,8.2,8.4
14,8.0,8.3,8.0
14,8.0,8.2,8.1
14,8.0,8.1,8.1
14,8.0,8.2,8.3
14,8.0,8.3,8.2
14,8.0,8.3,8.2
14,8.0,8.4,8.2
14,8.0,8.3,8.4
14,8.0,8.3,8.3
14,8.0,8.3,8.5
14,8.0,8.5,8.5
14,8.0,8.6,8.6
14,8.0,8.5,8.6
14,8.0,8.3,8.6
14,8.0,8.7,8.5
14,8.0,8.4,8.6
15,8.0,8.5,8.6
15,8.0,8.7,8.5
15,8.0,8.6,8.6
15,8.0,8.5,8.3
15,8.0,8.0,8.0
15,8.0,8.0,8.2
15,8.0,8.1,8.5
15,8.0,8.3,8.4
15,8.0,8.0,8.4
15,8.0,8.3,8.4
15,8.0,8.3,8.2
15,8.0,8.3,8.3
15,8.0,8.2,8.3
15,8.0,8.2,8.3
15,8.0,8.3,8.2
15,8.0,8.4,8.3
15,8.0,8.4,8.5
15,8.0,8.4,8.4
15,8.0,8.5,8.5
15,8.0,8.5,8.6
15,8.0,8.6,8.7
15,8.0,8.6,8.7
15,8.0,8.7,8.7
15,8.0,8.7,8.7
16,8.0,8.6,8.8
16,8.0,8.8,8.7
16,8.0,8.6,8.7
16,8.0,8.7,8.6
16,8.0,8.4,8.5
16,8.0,8.1,8.4
16,8.0,8.3,8.3
16,8.0,8.3,8.3
16,8.0,8.3,8.3
16,8.0,8.3,8.5
16,8.0,8.3,8.3
16,8.0,8.3,8.2
16,8.0,8.2,8.2
16,8.0,8.2,8.2
16,8.0,8.4,8.1
16,8.0,8.3,8.3
16,8.0,8.4,8.4
16,8.0,8.3,8.4
16,8.0,8.3,8.4
16,8.0,8.4,8.5
16,8.0,8.5,8.3
16,8.0,8.3,8.5
16,8.0,7.7,8.6
16,8.0,7.9,7.9
17,8.0,7.7,8.3
17,8.0,8.1,8.3
17,8.0,8.3,8.2
17,8.0,8.4,8.1
17,8.0,8.4,8.3
17,8.0,8.3,8.4
17,8.0,8.5,8.4
17,8.0,8.3,8.0
17,8.0,8.1,8.2
17,8.0,7.9,7.8
17,8.0,7.8,8.2
17,8.0,8.3,8.1
17,8.0,8.0,8.3
17,8.0,8.1,8.4
17,8.0,8.3,8.3
17,8.0,8.4,8.4
17,8.0,8.4,8.4
17,8.0,8.5,8.4
17,8.0,8.6,8.5
17,8.0,8.6,8.6
17,8.0,8.1,8.7
17,8.0,8.3,8.3
17,8.0,8.2,8.1
17,8.0,8.1,8.3
18,8.0,8.1,8.5
18,8.0,8.1,8.4
18,8.0,8.2,8.5
18,8.0,8.4,8.2
18,8.0,8.4,8.4
18,8.0,8.3,7.8
18,8.0,8.5,7.7
18,8.0,8.1,8.3
18,8.0,8.1,8.4
18,8.0,7.8,8.6
18,8.0,7.5,8.5
18,8.0,7.8,8.1
18,8.0,8.1,8.3
18,8.0,8.2,8.4
18,8.0,8.3,8.4
18,8.0,8.4,8.3
18,8.0,8.0,8.4
18,8.0,8.4,8.5
18,8.0,8.4,8.5
18,8.0,8.6,8.6
18,8.0,8.6,8.7
18,8.0,8.4,8.7
18,8.0,8.6,8.7
18,8.0,8.1,8.7
19,8.0,8.3,8.7
19,8.0,8.5,8.6
19,8.0,8.3,8.4
19,8.0,8.4,8.4
19,8.0,8.3,8.5
19,8.0,8.5,8.3
19,8.0,7.9,8.3
19,8.0,8.0,8.4
19,8.0,7.9,8.2
19,8.0,8.0,8.2
19,8.0,8.1,8.0
19,8.0,8.1,8.2
19,8.0,8.0,8.3
19,8.0,8.3,8.3
19,8.0,8.2,8.2
19,8.0,8.2,8.3
19,8.0,8.3,8.4
19,8.0,8.2,8.4
19,8.0,8.3,8.4
19,8.0,8.4,8.5
19,8.0,8.4,8.5
19,8.0,8.5,8.5
19,8.0,8.5,8.6
19,8.0,8.5,8.6
20,8.0,8.3,8.6
20,8.0,8.0,8.6
20,8.0,8.1,8.6
20,8.0,8.3,8.3
20,8.0,8.2,8.3
20,8.0,8.2,8.3
20,8.0,8.3,8.3
20,8.0,8.3,8.4
20,8.0,8.3,8.5
20,8.0,8.5,8.5
20,8.0,8.4,8.6
20,8.0,8.5,8.6
20,8.0,8.5,8.6
20,8.0,8.5,8.6
20,8.0,8.5,8.6
20,8.0,8.3,8.4
20,8.0,8.5,8.4
20,8.0,8.4,8.5
20,8.0,8.4,8.4
20,8.0,8.2,8.2
20,8.0,8.3,8.4
20,8.0,8.1,8.2
20,8.0,8.0,8.0
20,8.0,7.9,8.0
21,8.0,8.0,7.9
21,8.0,8.0,8.0
21,8.0,8.0,8.0
21,8.0,8.0,8.2
21,8.0,8.2,8.2
21,8.0,8.1,8.2
21,8.0,8.2,8.2
21,8.0,8.3,8.3
21,8.0,8.3,8.3
21,8.0,8.3,8.3
21,8.0,8.3,8.4
21,8.0,8.4,8.4
21,8.0,8.5,8.5
21,8.0,8.5,8.5
21,8.0,8.4,8.5
21,8.0,8.5,8.5
21,8.0,8.4,8.6
21,8.0,7.9,8.2
21,8.0,7.6,8.4
21,8.0,7.8,8.3
21,8.0,8.2,8.2
21,8.0,8.2,8.2
21,8.0,8.2,8.2
21,8.0,8.2,8.2
22,8.0,8.2,8.3
22,8.0,8.3,8.3
22,11.0,8.3,8.3
22,11.0,8.5,8.3
22,8.0,8.4,8.5
22,8.0,8.5,8.4
22,8.0,8.3,8.3
22,8.0,8.3,8.4
22,8.0,8.0,8.5
22,8.0,8.1,8.0
22,8.0,8.2,8.3
22,8.0,8.3,8.5
22,8.0,8.5,8.5
22,8.0,8.4,8.5
22,8.0,8.4,8.4
22,8.0,7.7,8.5
22,8.0,8.1,8.3
22,8.0,8.2,8.2
22,8.0,8.1,8.3
22,8.0,8.2,8.1
22,8.0,8.3,8.3
22,8.0,8.3,8.4
22,8.0,8.4,8.5
22,8.0,8.4,8.4
23,8.0,8.5,8.4
23,8.0,8.5,8.5
23,11.0,8.5,8.3
23,11.0,8.3,8.4
23,8.0,8.2,8.4
23,8.0,8.3,8.4
23,8.0,8.3,8.4
23,8.0,8.3,8.3
23,8.0,8.2,8.2
23,8.0,8.3,8.3
23,8.0,8.3,8.3
23,8.0,8.3,8.3
23,8.0,8.2,8.4
23,8.0,8.3,8.4
23,8.0,8.4,8.4
23,8.0,8.4,8.5
23,8.0,8.5,8.5
23,8.0,8.5,8.5
23,8.0,8.5,8.5
23,8.0,8.0,8.5
23,8.0,7.9,8.5
23,8.0,8.3,8.3
23,8.0,8.3,8.3
23,8.0,8.3,8.4
24,8.0,8.4,8.4
24,8.0,8.3,8.3
24,8.0,8.3,8.4
24,8.0,8.5,8.3
24,8.0,8.4,8.5
24,8.0,8.3,8.3
24,8.0,8.4,8.4
24,8.0,8.3,8.0
24,8.0,8.3,8.2
24,8.0,8.3,8.4
24,8.0,8.4,8.4
24,8.0,8.4,8.4
24,8.0,8.4,8.4
24,8.0,8.5,8.5
24,8.0,8.4,8.5
24,8.0,8.5,8.4
24,8.0,8.5,8.4
24,8.0,8.5,8.3
24,8.0,8.5,8.4
24,8.0,8.3,8.5
24,8.0,8.5,8.6
24,8.0,8.5,8.5
24,8.0,8.6,8.6
24,8.0,8.6,8.7
25,8.0,8.7,8.7
25,8.0,8.7,8.7
25,8.0,8.7,8.7
25,8.0,8.8,8.8
25,8.0,8.7,8.8
25,8.0,8.7,8.7
25,8.0,8.7,8.7
25,8.0,8.7,8.4
25,8.0,8.5,8.4
25,8.0,8.4,8.2
25,8.0,8.6,8.3
25,8.0,8.5,8.5
25,8.0,8.6,8.4
25,8.0,8.5,8.5
25,8.0,8.6,8.5
25,8.0,8.7,8.6
25,8.0,8.7,8.6
25,8.0,8.7,8.7
25,8.0,8.8,8.7
25,8.0,8.8,8.8
25,8.0,8.8,8.7
25,8.0,8.6,8.8
25,8.0,8.5,8.9
25,8.0,8.4,8.6
26,8.0,8.5,8.6
26,8.0,8.5,8.6
26,8.0,8.5,8.6
26,8.0,8.6,8.5
26,8.0,8.6,8.5
26,8.0,8.6,8.7
26,8.0,8.6,8.7
26,8.0,8.7,8.7
26,8.0,8.7,8.6
26,8.0,8.8,8.8
26,8.0,8.8,8.8
26,8.0,8.5,8.6
26,8.0,8.6,8.4
26,8.0,8.2,8.6
26,8.0,8.2,8.7
26,8.0,8.5,8.2
26,8.0,8.5,8.1
26,8.0,8.6,8.2
26,8.0,8.6,8.5
26,8.0,8.6,8.6
26,8.0,8.6,8.6
26,8.0,8.6,8.6
26,8.0,8.6,8.7
26,8.0,8.7,8.7
27,8.0,8.8,8.8
27,8.0,8.7,8.7
27,8.0,8.7,8.7
27,8.0,8.7,8.8
27,8.0,8.6,8.7
27,8.0,8.5,8.7
27,8.0,8.6,8.7
27,8.0,8.7,8.7
27,8.0,8.6,8.7
27,8.0,8.6,8.7
27,8.0,8.6,8.5
27,8.0,8.6,8.6
27,8.0,8.6,8.7
27,8.0,8.7,8.7
27,8.0,8.7,8.7
27,8.0,8.7,8.7
27,8.0,8.7,8.5
27,8.0,8.7,8.6
27,8.0,8.8,8.7
27,8.0,8.6,8.6
27,8.0,8.4,8.6
27,8.0,8.5,8.6
27,8.0,8.6,8.7
27,8.0,8.7,8.7
28,8.0,8.6,8.6
28,8.0,8.7,8.6
28,8.0,8.7,8.7
28,8.0,8.7,8.7
28,8.0,8.7,8.7
28,8.0,8.7,8.7
28,8.0,8.8,8.7
28,8.0,8.5,8.7
28,8.0,8.6,8.6
28,8.0,8.3,8.4
28,8.0,8.4,8.4
28,8.0,8.5,8.5
28,8.0,8.5,8.5
28,8.0,8.4,8.4
28,8.0,8.2,8.5
28,8.0,8.1,8.3
28,8.0,7.9,8.3
28,8.0,8.1,8.3
28,8.0,8.3,8.2
28,8.0,8.3,8.3
28,8.0,8.2,8.2
28,8.0,8.1,8.1
28,8.0,7.9,8.0
29,8.0,7.9,7.9
29,8.0,8.0,8.0
29,8.0,8.0,8.0
29,8.0,8.0,7.9
29,8.0,8.0,7.6
29,8.0,8.0,7.9
29,8.0,8.0,7.9
29,8.0,8.0,7.9
29,8.0,8.0,8.0
29,8.0,8.0,8.1
29,8.0,8.1,8.1
29,8.0,8.1,8.1
29,8.0,8.1,8.1
29,8.0,8.2,8.1
29,8.0,8.1,8.1
29,8.0,8.1,8.2
29,8.0,8.1,8.1
29,8.0,8.0,8.1
29,8.0,8.0,8.1
29,8.0,8.1,8.1
29,8.0,8.1,8.1
29,8.0,8.1,8.1
30,8.0,7.9,8.1
30,8.0,8.0,8.1
30,8.0,7.9,7.9
30,8.0,7.9,8.1
30,8.0,8.0,8.1
30,8.0,7.9,7.9
